,text,label,label_name,text_clean,sentiment,prediction
14,Good deal. Way cheaper than byung them in the smaller packs at the store. And you get single servings so I don't eat the whole can. ,0,chips,Good deal. Way cheaper byung smaller packs store. And get single servings I eat whole can.,Good deal. Way cheaper byung smaller packs store. And get single servings I eat whole can.,0
15,well we love pringles but I was kind of mistaken thinking they wouldn't be smashed to pieces. Still liked the crumbs. ,0,chips,well love pringles I kind mistaken thinking smashed pieces. Still liked crumbs.,well love pringles I kind mistaken thinking smashed pieces. Still liked crumbs.,0
16,"Yes, it's very bad for us, however, it's such a great little snack for special occasions.  I bought a case of these for the twins' birthday party, and they were a huge hit with kids and adults!  They will now be a kid party stable at our house. ",0,chips,"Yes, bad us, however, great little snack special occasions. I bought case twins' birthday party, huge hit kids adults! They kid party stable house.","Yes, bad us, however, great little snack special occasions. I bought case twins' birthday party, huge hit kids adults! They kid party stable house.",0
17,The potato Chipss arrived and were fresh when opened. Unfortunately every package had more broken Chipss than whole.  Several packages only had 2 Chipss that weren't broken. ,0,chips,The potato Chipss arrived fresh opened. Unfortunately every package broken Chipss whole. Several packages 2 Chipss broken.,The potato Chipss arrived fresh opened. Unfortunately every package broken Chipss whole. Several packages 2 Chipss broken.,0
18,"gave these out for trick or treaters they all seem to like them 1even said better than chochlate, I guess the kids today are getting wiser ",0,chips,"gave trick treaters seem like 1even said better chochlate, I guess kids today getting wiser","gave trick treaters seem like 1even said better chochlate, I guess kids today getting wiser",0
19,These were really good so I had to purchase them again. Great product and I'm glad I did. Good choice. ,0,chips,These really good I purchase again. Great product I'm glad I did. Good choice.,These really good I purchase again. Great product I'm glad I did. Good choice.,0
20,These are always good tasting but I especially like getting them in the snack sizes because it keeps me from eating too many of them at once. The problem with getting them shipped is that most of the Chipss came broken into pieces. ,0,chips,These always good tasting I especially like getting snack sizes keeps eating many once. The problem getting shipped Chipss came broken pieces.,These always good tasting I especially like getting snack sizes keeps eating many once. The problem getting shipped Chipss came broken pieces.,0
21,DURING MY days in NATTC( NAVAL AVIATION SCHOOL) i needed some snack and this thing is wonderful. cheap but come with alot of Chipss and last me a long time..very good ,0,chips,DURING MY days NATTC( NAVAL AVIATION SCHOOL) needed snack thing wonderful. cheap come alot Chipss last long time..very good,DURING MY days NATTC( NAVAL AVIATION SCHOOL) needed snack thing wonderful. cheap come alot Chipss last long time..very good,0
22,A very perfect size and very flavorful.  I take one with me to work to eat with my lunch every day ,0,chips,A perfect size flavorful. I take one work eat lunch every day,A perfect size flavorful. I take one work eat lunch every day,0
23,The only problem I had was some the Chipss were broken in quiet a few of the cups. But the Chipss were fresh. ,0,chips,The problem I Chipss broken quiet cups. But Chipss fresh.,The problem I Chipss broken quiet cups. But Chipss fresh.,0
24,Wonderful little containers of yummy snacks are a fun way to say hello to your kid in camp.  The case size has enough to share with the entire bunk. ,0,chips,Wonderful little containers yummy snacks fun way say hello kid camp. The case size enough share entire bunk.,Wonderful little containers yummy snacks fun way say hello kid camp. The case size enough share entire bunk.,0
25,Pringles and a long car ride just go together like two peas in a pod. The only thing is about the variety pack that was the a problem is that I should have bought two packs instead of just one. ,0,chips,Pringles long car ride go together like two peas pod. The thing variety pack problem I bought two packs instead one.,Pringles long car ride go together like two peas pod. The thing variety pack problem I bought two packs instead one.,0
26,"We loved these Chipss.  The thing that upset me was this was on the bottom of the package with no protection.  The airbags near it were flat.  The whole row and over half the other the Chipss were busted up.  Amazon corrected the situation.  The Chipss we were able to eat were fresh and tasty,. ",0,chips,"We loved Chipss. The thing upset bottom package protection. The airbags near flat. The whole row half Chipss busted up. Amazon corrected situation. The Chipss able eat fresh tasty,.","We loved Chipss. The thing upset bottom package protection. The airbags near flat. The whole row half Chipss busted up. Amazon corrected situation. The Chipss able eat fresh tasty,.",0
27,Love the fact that you can snack on smaller portions and don't have to open large containers.  Great for kids lunch boxes. ,0,chips,Love fact snack smaller portions open large containers. Great kids lunch boxes.,Love fact snack smaller portions open large containers. Great kids lunch boxes.,0
28,"Nice, convenient little pouches of Pringles Chipss in three different favors. Original, cheese, and sour cream. My kids enjoy these as a snack, and I like them to throw in my lunch box for work. ",0,chips,"Nice, convenient little pouches Pringles Chipss three different favors. Original, cheese, sour cream. My kids enjoy snack, I like throw lunch box work.","Nice, convenient little pouches Pringles Chipss three different favors. Original, cheese, sour cream. My kids enjoy snack, I like throw lunch box work.",0
29,"I gave it this rating because my children loved the variety.  I liked it very much.  Yes, I will recommend the product.  it was a good price, it arrived on time ",0,chips,"I gave rating children loved variety. I liked much. Yes, I recommend product. good price, arrived time","I gave rating children loved variety. I liked much. Yes, I recommend product. good price, arrived time",0
30,Fast shipping. Great price. Love the product and recipient loved it even more definitely reccomend this product based on quality and price ,0,chips,Fast shipping. Great price. Love product recipient loved even definitely reccomend product based quality price,Fast shipping. Great price. Love product recipient loved even definitely reccomend product based quality price,0
31,"My granddaughter comes over every Friday, of often with a friend or 2. They are 12 year olds, and are always hungry; this package kept them happy for a month ",0,chips,"My granddaughter comes every Friday, often friend 2. They 12 year olds, always hungry; package kept happy month","My granddaughter comes every Friday, often friend 2. They 12 year olds, always hungry; package kept happy month",0
32,It is a giant box of multi-flavored Pringles potato Chipss.  What more could you ask for?  They arrived in excellent condition and were delicious. ,0,chips,It giant box multi-flavored Pringles potato Chipss. What could ask for? They arrived excellent condition delicious.,It giant box multi-flavored Pringles potato Chipss. What could ask for? They arrived excellent condition delicious.,0
33,"I love these little single pack's of  Pringles  ,the difference flavors is a plus. I have also bought  Betty Crocker  variety pack fruit .The price is very reasonable and it's nice to have free shipping with Amazon. When my kid's and Grandchildren  stop by it's nice to have on hand,they expect me to have something all the time now and Thanks to Amazon I do. ",0,chips,"I love little single pack's Pringles ,the difference flavors plus. I also bought Betty Crocker variety pack fruit .The price reasonable nice free shipping Amazon. When kid's Grandchildren stop nice hand,they expect something time Thanks Amazon I do.","I love little single pack's Pringles ,the difference flavors plus. I also bought Betty Crocker variety pack fruit .The price reasonable nice free shipping Amazon. When kid's Grandchildren stop nice hand,they expect something time Thanks Amazon I do.",0
34,the order arrived before estimated and were perfect. the flavors were real good and definitely  fresh upon arrival . i will definitely buy this again ,0,chips,order arrived estimated perfect. flavors real good definitely fresh upon arrival . definitely buy,order arrived estimated perfect. flavors real good definitely fresh upon arrival . definitely buy,0
35,"It is exactly what is advertised.  We use them in school as incentive for the students, and they loved them. ",0,chips,"It exactly advertised. We use school incentive students, loved them.","It exactly advertised. We use school incentive students, loved them.",0
36,My nieces love the individual containers and so do I.  Less waste and they can take them with them without a mess. ,0,chips,My nieces love individual containers I. Less waste take without mess.,My nieces love individual containers I. Less waste take without mess.,0
37,All 4 of these food products were ordered at the same time and we were very happy with all of them.  This has the added advantage of taking up much less room in the pantry than the individual bags of Chipss. ,0,chips,All 4 food products ordered time happy them. This added advantage taking much less room pantry individual bags Chipss.,All 4 food products ordered time happy them. This added advantage taking much less room pantry individual bags Chipss.,0
38,These were sent to my son in a care package . He has moved out on his own to another state so this was my way of helping him out with some groceries. ,0,chips,These sent son care package . He moved another state way helping groceries.,These sent son care package . He moved another state way helping groceries.,0
39,When i got this product. I happy to see  that that the item was in good shape. I use it for work and for lunch ,0,chips,When got product. I happy see item good shape. I use work lunch,When got product. I happy see item good shape. I use work lunch,0
40,i just got my item and i love it i will be getting some more from this company you have to try it ,0,chips,got item love getting company try,got item love getting company try,0
41,Gave as gifts so I dont know what they are like inside but I heard a lot of crumbs rattling.  The package arrived without damage so dont know why it sounds like crumbs. ,0,chips,Gave gifts I dont know like inside I heard lot crumbs rattling. The package arrived without damage dont know sounds like crumbs.,Gave gifts I dont know like inside I heard lot crumbs rattling. The package arrived without damage dont know sounds like crumbs.,0
42,"My son at college loves these as a surprise... small, he can throw them into his backpack and have them as a snack while in the library or between classes... ",0,chips,"My son college loves surprise... small, throw backpack snack library classes...","My son college loves surprise... small, throw backpack snack library classes...",0
43,yeah I was very skeptical when I first purchased these potato Chipss however when I ate the can AFTER I washed my hands yesterday but anywas theskG OGOOD $%3-= ,0,chips,yeah I skeptical I first purchased potato Chipss however I ate AFTER I washed hands yesterday anywas theskG OGOOD $%3-=,yeah I skeptical I first purchased potato Chipss however I ate AFTER I washed hands yesterday anywas theskG OGOOD $%3-=,0
44,These are Great. If you don't want to give the kids to much. Just give them one or two Snack Stacks Packs and send them on their way. You won't have to worry about them eating to much because you control how much they will be getting. ,0,chips,These Great. If want give kids much. Just give one two Snack Stacks Packs send way. You worry eating much control much getting.,These Great. If want give kids much. Just give one two Snack Stacks Packs send way. You worry eating much control much getting.,0
45,"The Chipss are great, & the size is perfect for my work lunches. The price here is a little steep. I get mine at either wal mart or meijers. I can pick whatever flavors I like also. ",0,chips,"The Chipss great, & size perfect work lunches. The price little steep. I get mine either wal mart meijers. I pick whatever flavors I like also.","The Chipss great, & size perfect work lunches. The price little steep. I get mine either wal mart meijers. I pick whatever flavors I like also.",0
46,"Love potato Chipss but I can't stand the fact that they can go stale so fast once they've been open.  I used to have packages on top of the refrigerator with 2 handfuls of Chipss in them even though they had been resealed, clipped and re-clipped.  We had seen the 6 pack of regular Pringles in the store and started purchasing them.  Couldn't find the assorted flavors until I went to Amazon (in this day and age of gas prices, I go there quite often rather than drive around to many stores).  Love the assorted packs, Thank you Amazon. ",0,chips,"Love potato Chipss I can't stand fact go stale fast they've open. I used packages top refrigerator 2 handfuls Chipss even though resealed, clipped re-clipped. We seen 6 pack regular Pringles store started purchasing them. Couldn't find assorted flavors I went Amazon (in day age gas prices, I go quite often rather drive around many stores). Love assorted packs, Thank Amazon.","Love potato Chipss I can't stand fact go stale fast they've open. I used packages top refrigerator 2 handfuls Chipss even though resealed, clipped re-clipped. We seen 6 pack regular Pringles store started purchasing them. Couldn't find assorted flavors I went Amazon (in day age gas prices, I go quite often rather drive around many stores). Love assorted packs, Thank Amazon.",0
47,I love buying all snacks size packs.  After schools kids are hungry and these are easy for them to grab and not fill up on.  The price is just as good as the warehouse prices. ,0,chips,I love buying snacks size packs. After schools kids hungry easy grab fill on. The price good warehouse prices.,I love buying snacks size packs. After schools kids hungry easy grab fill on. The price good warehouse prices.,0
48,"I always loved Pringles, but I could finish a can in a very short time. When I saw these individualized packs, I was excited. Even better was that they came in a variety pack. There are regular, cheddar cheese, and sour cream and onion. My friend was so pleased with the product that he wanted a package for himself. I am on my second box and I am thrilled! They come 36 in a box so they last a good long time. I highly recommend them. ",0,chips,"I always loved Pringles, I could finish short time. When I saw individualized packs, I excited. Even better came variety pack. There regular, cheddar cheese, sour cream onion. My friend pleased product wanted package himself. I second box I thrilled! They come 36 box last good long time. I highly recommend them.","I always loved Pringles, I could finish short time. When I saw individualized packs, I excited. Even better came variety pack. There regular, cheddar cheese, sour cream onion. My friend pleased product wanted package himself. I second box I thrilled! They come 36 box last good long time. I highly recommend them.",0
49,To me this is an excellent value........I am a piggy when it comes to Chipss and packaged in the individual packs is perfect.  Makes one stop & think before devouring the whole carton.  One pack or two at a time.....perfect. ,0,chips,To excellent value........I piggy comes Chipss packaged individual packs perfect. Makes one stop & think devouring whole carton. One pack two time.....perfect.,To excellent value........I piggy comes Chipss packaged individual packs perfect. Makes one stop & think devouring whole carton. One pack two time.....perfect.,0
50,i am a big fan of these ... you can find them cheap and as long as you eat them within 3 or 4 days they are moist and chewy.  normally i buy my bagels from a bagel store but if you're short on funds or want yummy snacks aorund the house to feed your friends these are a good call.  also good with cream cheese of course. ,1,bagel,big fan ... find cheap long eat within 3 4 days moist chewy. normally buy bagels bagel store short funds want yummy snacks aorund house feed friends good call. also good cream cheese course.,big fan ... find cheap long eat within 3 4 days moist chewy. normally buy bagels bagel store short funds want yummy snacks aorund house feed friends good call. also good cream cheese course.,1
51,"I like to review books and an occasional dvd -----I have never reviewed a food product.  But.............after tasting an ""Everything Bagel"" a few days ago, I am compelled to rave about it somewhere.  It was REALLY great  --  ate half with cream cheese and half with butter.  The taste is a wonderful and delicious mix of very chewable seeds along with a crispy outer and soft inner roll.<br /><br />This was a fortunate find because sometimes breakfast can be a little boring with just toast or a muffin.  These bagels are so good, I find myself thinking about them occasionally during odd hours.  Yes, they are that good. ",1,bagel,"I like review books occasional dvd -----I never reviewed food product. But.............after tasting ""Everything Bagel"" days ago, I compelled rave somewhere. It REALLY great -- ate half cream cheese half butter. The taste wonderful delicious mix chewable seeds along crispy outer soft inner roll.<br /><br />This fortunate find sometimes breakfast little boring toast muffin. These bagels good, I find thinking occasionally odd hours. Yes, good.","I like review books occasional dvd -----I never reviewed food product. But.............after tasting ""Everything Bagel"" days ago, I compelled rave somewhere. It REALLY great -- ate half cream cheese half butter. The taste wonderful delicious mix chewable seeds along crispy outer soft inner roll.<br /><br />This fortunate find sometimes breakfast little boring toast muffin. These bagels good, I find thinking occasionally odd hours. Yes, good.",1
52,Tasted like a couple of pieces of toast.  Anyone who likes bagels should stay away from these. ,1,bagel,Tasted like couple pieces toast. Anyone likes bagels stay away these.,Tasted like couple pieces toast. Anyone likes bagels stay away these.,1
53,These took awhile to get here but they were still good and tasted fine. Considering the price though I am not sure I would order these again since I can get them a lot cheaper in the stores. ,1,bagel,These took awhile get still good tasted fine. Considering price though I sure I would order since I get lot cheaper stores.,These took awhile get still good tasted fine. Considering price though I sure I would order since I get lot cheaper stores.,1
54,"I normally do not like the high protein breads, but this was really good!  The texture was not rubbery and is packed full of protein that kept me full for hours! ",1,bagel,"I normally like high protein breads, really good! The texture rubbery packed full protein kept full hours!","I normally like high protein breads, really good! The texture rubbery packed full protein kept full hours!",1
55,Wanted a high protein breakfast food and this is it.  A little bit chewy but it doesn't change the taste.  Best tasting bagel when looking for high protein food. ,1,bagel,Wanted high protein breakfast food it. A little bit chewy change taste. Best tasting bagel looking high protein food.,Wanted high protein breakfast food it. A little bit chewy change taste. Best tasting bagel looking high protein food.,1
56,"I ordered these kosher bagels twice in the past month.  The first time they came within 2 days or so, and they still had that fresh bagel aroma.  They are not quite as chewy or big as the ones my Bubbe used to get in Queens, but still good.  The second time, there was a delay of about 2 days before shipping, plus 2-3 days to get to us in Tennessee.  Although they weren't stale, the flavor naturally wasn't quite as good. The bakery, Davidovich of New York, included a 7th bagel for free.  (Maybe as compensation? Anyway, thank you!)  Their enclosed card marks a location on a map in midtown Manhattan, but the package was shipped from Woodside, Queens.<br />The bagels are good enough that I may try them again.  It would be nice if they would offer some varieties other than Plain.  How about Poppy Seed, Onion, Egg, Sesame, or ""Everything""?<br />Also, I urge the seller to provide better packaging for shipment around the country, perhaps a vacuum seal, since the shipping method is UPS Ground.<br />FLASH (11/5/09): The seller has now more than doubled the price of the 6 bagels, from $4.50 to $9.50, PLUS it's still $5.49 shipping -- way too expensive, in my opinion!  Maybe they intended to provide FREE shipping, which would be a $.50 reduction vs. the previous total? ",1,bagel,"I ordered kosher bagels twice past month. The first time came within 2 days so, still fresh bagel aroma. They quite chewy big ones Bubbe used get Queens, still good. The second time, delay 2 days shipping, plus 2-3 days get us Tennessee. Although stale, flavor naturally quite good. The bakery, Davidovich New York, included 7th bagel free. (Maybe compensation? Anyway, thank you!) Their enclosed card marks location map midtown Manhattan, package shipped Woodside, Queens.<br />The bagels good enough I may try again. It would nice would offer varieties Plain. How Poppy Seed, Onion, Egg, Sesame, ""Everything""?<br />Also, I urge seller provide better packaging shipment around country, perhaps vacuum seal, since shipping method UPS Ground.<br />FLASH (11/5/09): The seller doubled price 6 bagels, $4.50 $9.50, PLUS still $5.49 shipping -- way expensive, opinion! Maybe intended provide FREE shipping, would $.50 reduction vs. previous total?","I ordered kosher bagels twice past month. The first time came within 2 days so, still fresh bagel aroma. They quite chewy big ones Bubbe used get Queens, still good. The second time, delay 2 days shipping, plus 2-3 days get us Tennessee. Although stale, flavor naturally quite good. The bakery, Davidovich New York, included 7th bagel free. (Maybe compensation? Anyway, thank you!) Their enclosed card marks location map midtown Manhattan, package shipped Woodside, Queens.<br />The bagels good enough I may try again. It would nice would offer varieties Plain. How Poppy Seed, Onion, Egg, Sesame, ""Everything""?<br />Also, I urge seller provide better packaging shipment around country, perhaps vacuum seal, since shipping method UPS Ground.<br />FLASH (11/5/09): The seller doubled price 6 bagels, $4.50 $9.50, PLUS still $5.49 shipping -- way expensive, opinion! Maybe intended provide FREE shipping, would $.50 reduction vs. previous total?",1
57,"Yes, that is correct. This type of bagel sold through Amazon,  you could get in the local supermarkets in Queens, NY. , for about $5.00 a dozen. There ok , but not as good as the one's made in the bagel shops. Those made in and for the bagel shops were very special and cost around $10.00 a dozen. ",1,bagel,"Yes, correct. This type bagel sold Amazon, could get local supermarkets Queens, NY. , $5.00 dozen. There ok , good one's made bagel shops. Those made bagel shops special cost around $10.00 dozen.","Yes, correct. This type bagel sold Amazon, could get local supermarkets Queens, NY. , $5.00 dozen. There ok , good one's made bagel shops. Those made bagel shops special cost around $10.00 dozen.",1
58,"Do not order these bagels the texture is like a hamburger bun and the taste is not like a true bagel, ",1,bagel,"Do order bagels texture like hamburger bun taste like true bagel,","Do order bagels texture like hamburger bun taste like true bagel,",1
59,"These are not bagels. If you want Parker House Rolls then buy these. If you want real bagels, don't waste your money. We gave ours away they were so bad we could not eat them.  If there was a half star rating I would give that rating. ",1,bagel,"These bagels. If want Parker House Rolls buy these. If want real bagels, waste money. We gave away bad could eat them. If half star rating I would give rating.","These bagels. If want Parker House Rolls buy these. If want real bagels, waste money. We gave away bad could eat them. If half star rating I would give rating.",1
60,"Time - Was suppose to arrived in a few days but arrievd next day.<br /><br /> Taste - Absolutely delicious, worth to buy, and most of all stays very fresh.<br /><br />Packed - Was well packed and easy to serve.<br /><br />Bottom Line - If you're looking for fresh bagels and a easy way to get it to you house, this is your answer!<br /><br />Enjoy! ",1,bagel,"Time - Was suppose arrived days arrievd next day.<br /><br /> Taste - Absolutely delicious, worth buy, stays fresh.<br /><br />Packed - Was well packed easy serve.<br /><br />Bottom Line - If looking fresh bagels easy way get house, answer!<br /><br />Enjoy!","Time - Was suppose arrived days arrievd next day.<br /><br /> Taste - Absolutely delicious, worth buy, stays fresh.<br /><br />Packed - Was well packed easy serve.<br /><br />Bottom Line - If looking fresh bagels easy way get house, answer!<br /><br />Enjoy!",1
61,I was very disappointed in these what you are calling bagels. .  They are NOT bagels and I will never order them again. ,1,bagel,I disappointed calling bagels. . They NOT bagels I never order again.,I disappointed calling bagels. . They NOT bagels I never order again.,1
62,"Perfect Bagels, nice size, great texture. Put them in the freezer to keep them fresh longer, or pop one in the toaster for a quick fix treat. ",1,bagel,"Perfect Bagels, nice size, great texture. Put freezer keep fresh longer, pop one toaster quick fix treat.","Perfect Bagels, nice size, great texture. Put freezer keep fresh longer, pop one toaster quick fix treat.",1
63,WOW!  This one is truly a NY bagel.  It is the best tasting bagel I have ever tried.  Excellent with cream cheese and lox! ,1,bagel,WOW! This one truly NY bagel. It best tasting bagel I ever tried. Excellent cream cheese lox!,WOW! This one truly NY bagel. It best tasting bagel I ever tried. Excellent cream cheese lox!,1
64,These come up in a search for low carb items but yet there is no nutritional data I could find anywhere.  I am not taking the chance. ,1,bagel,These come search low carb items yet nutritional data I could find anywhere. I taking chance.,These come search low carb items yet nutritional data I could find anywhere. I taking chance.,1
65,"I have been eating bagles all of my life and these are the worst. they look like big rolls and taste like heavy bread.  i ate one with lox and cream chese and it sat in my tummy like a ball of lead for 2 days.  I tried to give them to my neighbors with no luck after they tasted them and made a sick face and spit it out. the worst part is very funny to other people because I ordered 8 dozen for over $80.00.  I have been buying from Amazon for years and have never sent anything back, and this is the 1st review I have written about products that I got from Amazon . I did not return them because by the time they would have received them they would have been stale and god knows what the shipping would have coat Amazon. If you buy them go fishing and you can use them a sinkers.<br />amazon.Well it pay to learn, that what my pappy used to say.  these were not purchased from Amazon. The shipper was LILLYS HOME STYLE OUT OF NEW YORK.  i WENT TO WALL MART AND GOT SOME GOOD LADNERS BAGLES SO I COULD EAT MY LOX. GOOD BUY  TWIGGY ",1,bagel,"I eating bagles life worst. look like big rolls taste like heavy bread. ate one lox cream chese sat tummy like ball lead 2 days. I tried give neighbors luck tasted made sick face spit out. worst part funny people I ordered 8 dozen $80.00. I buying Amazon years never sent anything back, 1st review I written products I got Amazon . I return time would received would stale god knows shipping would coat Amazon. If buy go fishing use sinkers.<br />amazon.Well pay learn, pappy used say. purchased Amazon. The shipper LILLYS HOME STYLE OUT OF NEW YORK. WENT TO WALL MART AND GOT SOME GOOD LADNERS BAGLES SO I COULD EAT MY LOX. GOOD BUY TWIGGY","I eating bagles life worst. look like big rolls taste like heavy bread. ate one lox cream chese sat tummy like ball lead 2 days. I tried give neighbors luck tasted made sick face spit out. worst part funny people I ordered 8 dozen $80.00. I buying Amazon years never sent anything back, 1st review I written products I got Amazon . I return time would received would stale god knows shipping would coat Amazon. If buy go fishing use sinkers.<br />amazon.Well pay learn, pappy used say. purchased Amazon. The shipper LILLYS HOME STYLE OUT OF NEW YORK. WENT TO WALL MART AND GOT SOME GOOD LADNERS BAGLES SO I COULD EAT MY LOX. GOOD BUY TWIGGY",1
66,"MM's Review:  I enjoy these bagels as one of the most delicious -ly important source of protein in my daily meal plan.  If possible, I like to have at least 2 to 3 servings per day.  These plain bagels are low in sodium, fat without adding any toppings and not too bad for the gluten- intolerant person.  One of the blueberry bagel is sweet enough by itself for a natural carbohydrate treat!  There are nutritional and life sustaining value when one has a consumable meal or snack of this yummy and worthy bread for life to satisfy one's hunger.  Thank you to the baker's of these tasty bagel's. ",1,bagel,"MM's Review: I enjoy bagels one delicious -ly important source protein daily meal plan. If possible, I like least 2 3 servings per day. These plain bagels low sodium, fat without adding toppings bad gluten- intolerant person. One blueberry bagel sweet enough natural carbohydrate treat! There nutritional life sustaining value one consumable meal snack yummy worthy bread life satisfy one's hunger. Thank baker's tasty bagel's.","MM's Review: I enjoy bagels one delicious -ly important source protein daily meal plan. If possible, I like least 2 3 servings per day. These plain bagels low sodium, fat without adding toppings bad gluten- intolerant person. One blueberry bagel sweet enough natural carbohydrate treat! There nutritional life sustaining value one consumable meal snack yummy worthy bread life satisfy one's hunger. Thank baker's tasty bagel's.",1
67,Thomas' makes incredible English Muffins.  The people who designed their bagels have never had bagels.  Thomas' Bagels are Bagel shaped bread.  There is nothing bagel about it. ,1,bagel,Thomas' makes incredible English Muffins. The people designed bagels never bagels. Thomas' Bagels Bagel shaped bread. There nothing bagel it.,Thomas' makes incredible English Muffins. The people designed bagels never bagels. Thomas' Bagels Bagel shaped bread. There nothing bagel it.,1
68,"I really liked the light sugar taste. not overly sugary, but a yummy cinnamon flavor and a very nice treat! taste like normal bagel chips except that they are gluten- free. Glutino does a great job here. ",1,bagel,"I really liked light sugar taste. overly sugary, yummy cinnamon flavor nice treat! taste like normal bagel chips except gluten- free. Glutino great job here.","I really liked light sugar taste. overly sugary, yummy cinnamon flavor nice treat! taste like normal bagel chips except gluten- free. Glutino great job here.",1
69,"These are very tasty, not too sweet, and very crunchy.  I have to hide them from the kids because they love them but they don't need to eat gluten free like me. ",1,bagel,"These tasty, sweet, crunchy. I hide kids love need eat gluten free like me.","These tasty, sweet, crunchy. I hide kids love need eat gluten free like me.",1
70,"All the bagels were broken, small pieces like somebody dropped them or stepped over the box. Not sure if it was from the shipping or from the manufacture but don't waste your money ordering it ",1,bagel,"All bagels broken, small pieces like somebody dropped stepped box. Not sure shipping manufacture waste money ordering","All bagels broken, small pieces like somebody dropped stepped box. Not sure shipping manufacture waste money ordering",1
