id,Label,Annotated Positive Document,Correct Annotated Positive Document,Annotated Negative Document,Correct Annotated Negative Document,summary,Document
10,Data,Data,,,,Learned feature representations and sub-phoneme posteriors from Deep NeuralNetworks (DNNs) have been used separately to produce significant performancegains for speaker and language recognition tasks. In this work we show howthese gains are possible using a single DNN for both speaker and languagerecognition. The unified DNN approach is shown to yield substantial performanceimprovements on the the 2013 Domain Adaptation Challenge speaker recognitiontask (55% reduction in EER for the out-of-domain condition) and on the NIST2011 Language Recognition Evaluation (48% reduction in EER for the 30s testcondition).,A Unified Deep Neural Network for Speaker and Language Recognition
11,Physics,Physics,,,,"We propose Efficient Neural Architecture Search (ENAS), a fast andinexpensive approach for automatic model design. In ENAS, a controller learnsto discover neural network architectures by searching for an optimal subgraphwithin a large computational graph. The controller is trained with policygradient to select a subgraph that maximizes the expected reward on thevalidation set. Meanwhile the model corresponding to the selected subgraph istrained to minimize a canonical cross entropy loss. Thanks to parameter sharingbetween child models, ENAS is fast: it delivers strong empirical performancesusing much fewer GPU-hours than all existing automatic model design approaches,and notably, 1000x less expensive than standard Neural Architecture Search. Onthe Penn Treebank dataset, ENAS discovers a novel architecture that achieves atest perplexity of 55.8, establishing a new state-of-the-art among all methodswithout post-training processing. On the CIFAR-10 dataset, ENAS designs novelarchitectures that achieve a test error of 2.89%, which is on par with NASNet(Zoph et al., 2018), whose test error is 2.65%.",Efficient Neural Architecture Search via Parameter Sharing
12,Chemistry,,,Chemistry,,"Recent progress in artificial intelligence (AI) has renewed interest inbuilding systems that learn and think like people. Many advances have come fromusing deep neural networks trained end-to-end in tasks such as objectrecognition, video games, and board games, achieving performance that equals oreven beats humans in some respects. Despite their biological inspiration andperformance achievements, these systems differ from human intelligence incrucial ways. We review progress in cognitive science suggesting that trulyhuman-like learning and thinking machines will have to reach beyond currentengineering trends in both what they learn, and how they learn it.Specifically, we argue that these machines should (a) build causal models ofthe world that support explanation and understanding, rather than merelysolving pattern recognition problems; (b) ground learning in intuitive theoriesof physics and psychology, to support and enrich the knowledge that is learned;and (c) harness compositionality and learning-to-learn to rapidly acquire andgeneralize knowledge to new tasks and situations. We suggest concretechallenges and promising routes towards these goals that can combine thestrengths of recent neural network advances with more structured cognitivemodels.",Building Machines That Learn and Think Like People
13,,,,,,"While perception tasks such as visual object recognition and textunderstanding play an important role in human intelligence, the subsequenttasks that involve inference, reasoning and planning require an even higherlevel of intelligence. The past few years have seen major advances in manyperception tasks using deep learning models. For higher-level inference,however, probabilistic graphical models with their Bayesian nature are stillmore powerful and flexible. To achieve integrated intelligence that involvesboth perception and inference, it is naturally desirable to tightly integratedeep learning and Bayesian models within a principled probabilistic framework,which we call Bayesian deep learning. In this unified framework, the perceptionof text or images using deep learning can boost the performance of higher-levelinference and in return, the feedback from the inference process is able toenhance the perception of text or images. This survey provides a generalintroduction to Bayesian deep learning and reviews its recent applications onrecommender systems, topic models, and control. In this survey, we also discussthe relationship and differences between Bayesian deep learning and otherrelated topics like Bayesian treatment of neural networks.",Towards Bayesian Deep Learning: A Survey
14,,,,,,"Learning goal-directed behavior in environments with sparse feedback is amajor challenge for reinforcement learning algorithms. The primary difficultyarises due to insufficient exploration, resulting in an agent being unable tolearn robust value functions. Intrinsically motivated agents can explore newbehavior for its own sake rather than to directly solve problems. Suchintrinsic behaviors could eventually help the agent solve tasks posed by theenvironment. We present hierarchical-DQN (h-DQN), a framework to integratehierarchical value functions, operating at different temporal scales, withintrinsically motivated deep reinforcement learning. A top-level value functionlearns a policy over intrinsic goals, and a lower-level function learns apolicy over atomic actions to satisfy the given goals. h-DQN allows forflexible goal specifications, such as functions over entities and relations.This provides an efficient space for exploration in complicated environments.We demonstrate the strength of our approach on two problems with very sparse,delayed feedback: (1) a complex discrete stochastic decision process, and (2)the classic ATARI game `Montezuma's Revenge'.",Hierarchical Deep Reinforcement Learning: Integrating Temporal  Abstraction and Intrinsic Motivation
15,,,,,,"This paper presents a novel yet intuitive approach to unsupervised featurelearning. Inspired by the human visual system, we explore whether low-levelmotion-based grouping cues can be used to learn an effective visualrepresentation. Specifically, we use unsupervised motion-based segmentation onvideos to obtain segments, which we use as 'pseudo ground truth' to train aconvolutional network to segment objects from a single frame. Given theextensive evidence that motion plays a key role in the development of the humanvisual system, we hope that this straightforward approach to unsupervisedlearning will be more effective than cleverly designed 'pretext' tasks studiedin the literature. Indeed, our extensive experiments show that this is thecase. When used for transfer learning on object detection, our representationsignificantly outperforms previous unsupervised approaches across multiplesettings, especially when training data for the target task is scarce.",Learning Features by Watching Objects Move
16,,,,,,"We propose a simple neural network model to deal with the domain adaptationproblem in object recognition. Our model incorporates the Maximum MeanDiscrepancy (MMD) measure as a regularization in the supervised learning toreduce the distribution mismatch between the source and target domains in thelatent space. From experiments, we demonstrate that the MMD regularization isan effective tool to provide good domain adaptation models on both SURFfeatures and raw image pixels of a particular image data set. We also show thatour proposed model, preceded by the denoising auto-encoder pretraining,achieves better performance than recent benchmark models on the same data sets.This work represents the first study of MMD measure in the context of neuralnetworks.",Domain Adaptive Neural Networks for Object Recognition
17,Data,Data,,,,"Recent studies have demonstrated the power of recurrent neural networks formachine translation, image captioning and speech recognition. For the task ofcapturing temporal structure in video, however, there still remain numerousopen research questions. Current research suggests using a simple temporalfeature pooling strategy to take into account the temporal aspect of video. Wedemonstrate that this method is not sufficient for gesture recognition, wheretemporal information is more discriminative compared to general videoclassification tasks. We explore deep architectures for gesture recognition invideo and propose a new end-to-end trainable neural network architectureincorporating temporal convolutions and bidirectional recurrence. Our maincontributions are twofold; first, we show that recurrence is crucial for thistask; second, we show that adding temporal convolutions leads to significantimprovements. We evaluate the different approaches on the Montalbano gesturerecognition dataset, where we achieve state-of-the-art results.",Beyond Temporal Pooling: Recurrence and Temporal Convolutions for  Gesture Recognition in Video
18,Data,Data,,,,"In this paper, we address the task of Optical Character Recognition(OCR) forthe Telugu script. We present an end-to-end framework that segments the textimage, classifies the characters and extracts lines using a language model. Thesegmentation is based on mathematical morphology. The classification module,which is the most challenging task of the three, is a deep convolutional neuralnetwork. The language is modelled as a third degree markov chain at the glyphlevel. Telugu script is a complex alphasyllabary and the language isagglutinative, making the problem hard. In this paper we apply the latestadvances in neural networks to achieve state-of-the-art error rates. We alsoreview convolutional neural networks in great detail and expound thestatistical justification behind the many tricks needed to make Deep Learningwork.",Telugu OCR Framework using Deep Learning
19,,,,,,"The ability of the Generative Adversarial Networks (GANs) framework to learngenerative models mapping from simple latent distributions to arbitrarilycomplex data distributions has been demonstrated empirically, with compellingresults showing that the latent space of such generators captures semanticvariation in the data distribution. Intuitively, models trained to predictthese semantic latent representations given data may serve as useful featurerepresentations for auxiliary problems where semantics are relevant. However,in their existing form, GANs have no means of learning the inverse mapping --projecting data back into the latent space. We propose Bidirectional GenerativeAdversarial Networks (BiGANs) as a means of learning this inverse mapping, anddemonstrate that the resulting learned feature representation is useful forauxiliary supervised discrimination tasks, competitive with contemporaryapproaches to unsupervised and self-supervised feature learning.",Adversarial Feature Learning
20,Data,,,Data,,"Supervised machine learning models boast remarkable predictive capabilities.But can you trust your model? Will it work in deployment? What else can it tellyou about the world? We want models to be not only good, but interpretable. Andyet the task of interpretation appears underspecified. Papers provide diverseand sometimes non-overlapping motivations for interpretability, and offermyriad notions of what attributes render models interpretable. Despite thisambiguity, many papers proclaim interpretability axiomatically, absent furtherexplanation. In this paper, we seek to refine the discourse oninterpretability. First, we examine the motivations underlying interest ininterpretability, finding them to be diverse and occasionally discordant. Then,we address model properties and techniques thought to confer interpretability,identifying transparency to humans and post-hoc explanations as competingnotions. Throughout, we discuss the feasibility and desirability of differentnotions, and question the oft-made assertions that linear models areinterpretable and that deep neural networks are not.",The Mythos of Model Interpretability
21,Physics,Physics,,,,"In this paper, we focus on online representation learning in non-stationaryenvironments which may require continuous adaptation of model architecture. Wepropose a novel online dictionary-learning (sparse-coding) framework whichincorporates the addition and deletion of hidden units (dictionary elements),and is inspired by the adult neurogenesis phenomenon in the dentate gyrus ofthe hippocampus, known to be associated with improved cognitive function andadaptation to new environments. In the online learning setting, where new inputinstances arrive sequentially in batches, the neuronal-birth is implemented byadding new units with random initial weights (random dictionary elements); thenumber of new units is determined by the current performance (representationerror) of the dictionary, higher error causing an increase in the birth rate.Neuronal-death is implemented by imposing l1/l2-regularization (group sparsity)on the dictionary within the block-coordinate descent optimization at eachiteration of our online alternating minimization scheme, which iterates betweenthe code and dictionary updates. Finally, hidden unit connectivity adaptationis facilitated by introducing sparsity in dictionary elements. Our empiricalevaluation on several real-life datasets (images and language) as well as onsynthetic data demonstrates that the proposed approach can considerablyoutperform the state-of-art fixed-size (nonadaptive) online sparse coding ofMairal et al. (2009) in the presence of nonstationary data. Moreover, weidentify certain properties of the data (e.g., sparse inputs with nearlynon-overlapping supports) and of the model (e.g., dictionary sparsity)associated with such improvements.",Neurogenesis-Inspired Dictionary Learning: Online Model Adaption in a  Changing World
22,,,,,,"Deep neural networks require a large amount of labeled training data duringsupervised learning. However, collecting and labeling so much data might beinfeasible in many cases. In this paper, we introduce a source-target selectivejoint fine-tuning scheme for improving the performance of deep learning taskswith insufficient training data. In this scheme, a target learning task withinsufficient training data is carried out simultaneously with another sourcelearning task with abundant training data. However, the source learning taskdoes not use all existing training data. Our core idea is to identify and use asubset of training images from the original source learning task whoselow-level characteristics are similar to those from the target learning task,and jointly fine-tune shared convolutional layers for both tasks. Specifically,we compute descriptors from linear or nonlinear filter bank responses ontraining images from both tasks, and use such descriptors to search for adesired subset of training samples for the source learning task.  Experiments demonstrate that our selective joint fine-tuning scheme achievesstate-of-the-art performance on multiple visual classification tasks withinsufficient training data for deep learning. Such tasks include Caltech 256,MIT Indoor 67, Oxford Flowers 102 and Stanford Dogs 120. In comparison tofine-tuning without a source domain, the proposed method can improve theclassification accuracy by 2% - 10% using a single model.",Borrowing Treasures from the Wealthy: Deep Transfer Learning through  Selective Joint Fine-tuning
23,Data,,,Data,,"An important goal of computer vision is to build systems that learn visualrepresentations over time that can be applied to many tasks. In this paper, weinvestigate a vision-language embedding as a core representation and show thatit leads to better cross-task transfer than standard multi-task learning. Inparticular, the task of visual recognition is aligned to the task of visualquestion answering by forcing each to use the same word-region embeddings. Weshow this leads to greater inductive transfer from recognition to VQA thanstandard multitask learning. Visual recognition also improves, especially forcategories that have relatively few recognition training labels but appearoften in the VQA setting. Thus, our paper takes a small step towards creatingmore general vision systems by showing the benefit of interpretable, flexible,and trainable core representations.",Aligned Image-Word Representations Improve Inductive Transfer Across  Vision-Language Tasks
24,,,,,,"While deep learning is remarkably successful on perceptual tasks, it was alsoshown to be vulnerable to adversarial perturbations of the input. Theseperturbations denote noise added to the input that was generated specificallyto fool the system while being quasi-imperceptible for humans. More severely,there even exist universal perturbations that are input-agnostic but fool thenetwork on the majority of inputs. While recent work has focused on imageclassification, this work proposes attacks against semantic image segmentation:we present an approach for generating (universal) adversarial perturbationsthat make the network yield a desired target segmentation as output. We showempirically that there exist barely perceptible universal noise patterns whichresult in nearly the same predicted segmentation for arbitrary inputs.Furthermore, we also show the existence of universal noise which removes atarget class (e.g., all pedestrians) from the segmentation while leaving thesegmentation mostly unchanged otherwise.",Universal Adversarial Perturbations Against Semantic Image Segmentation
25,Nuclear,,,Nuclear,,"While the optimization problem behind deep neural networks is highlynon-convex, it is frequently observed in practice that training deep networksseems possible without getting stuck in suboptimal points. It has been arguedthat this is the case as all local minima are close to being globally optimal.We show that this is (almost) true, in fact almost all local minima areglobally optimal, for a fully connected network with squared loss and analyticactivation function given that the number of hidden units of one layer of thenetwork is larger than the number of training points and the network structurefrom this layer on is pyramidal.",The loss surface of deep and wide neural networks
26,Physics,Physics,,,,"We propose a new algorithm for training generative adversarial networks thatjointly learns latent codes for both identities (e.g. individual humans) andobservations (e.g. specific photographs). By fixing the identity portion of thelatent codes, we can generate diverse images of the same subject, and by fixingthe observation portion, we can traverse the manifold of subjects whilemaintaining contingent aspects such as lighting and pose. Our algorithmfeatures a pairwise training scheme in which each sample from the generatorconsists of two images with a common identity code. Corresponding samples fromthe real dataset consist of two distinct photographs of the same subject. Inorder to fool the discriminator, the generator must produce pairs that arephotorealistic, distinct, and appear to depict the same individual. We augmentboth the DCGAN and BEGAN approaches with Siamese discriminators to facilitatepairwise training. Experiments with human judges and an off-the-shelf faceverification system demonstrate our algorithm's ability to generate convincing,identity-matched photographs.",Semantically Decomposing the Latent Spaces of Generative Adversarial  Networks
27,,,,,,"Adaptive gradient methods have become recently very popular, in particular asthey have been shown to be useful in the training of deep neural networks. Inthis paper we have analyzed RMSProp, originally proposed for the training ofdeep neural networks, in the context of online convex optimization and show$\sqrt{T}$-type regret bounds. Moreover, we propose two variants SC-Adagrad andSC-RMSProp for which we show logarithmic regret bounds for strongly convexfunctions. Finally, we demonstrate in the experiments that these new variantsoutperform other adaptive gradient techniques or stochastic gradient descent inthe optimization of strongly convex functions as well as in training of deepneural networks.",Variants of RMSProp and Adagrad with Logarithmic Regret Bounds
28,Data,Data,,,,"We investigate the non-identifiability issues associated with bidirectionaladversarial training for joint distribution matching. Within a framework ofconditional entropy, we propose both adversarial and non-adversarial approachesto learn desirable matched joint distributions for unsupervised and supervisedtasks. We unify a broad family of adversarial models as joint distributionmatching problems. Our approach stabilizes learning of unsupervisedbidirectional adversarial learning methods. Further, we introduce an extensionfor semi-supervised learning tasks. Theoretical results are validated insynthetic data and real-world applications.",ALICE: Towards Understanding Adversarial Learning for Joint Distribution  Matching
29,Nuclear,,,Nuclear,,"In this study, we systematically investigate the impact of class imbalance onclassification performance of convolutional neural networks (CNNs) and comparefrequently used methods to address the issue. Class imbalance is a commonproblem that has been comprehensively studied in classical machine learning,yet very limited systematic research is available in the context of deeplearning. In our study, we use three benchmark datasets of increasingcomplexity, MNIST, CIFAR-10 and ImageNet, to investigate the effects ofimbalance on classification and perform an extensive comparison of severalmethods to address the issue: oversampling, undersampling, two-phase training,and thresholding that compensates for prior class probabilities. Our mainevaluation metric is area under the receiver operating characteristic curve(ROC AUC) adjusted to multi-class tasks since overall accuracy metric isassociated with notable difficulties in the context of imbalanced data. Basedon results from our experiments we conclude that (i) the effect of classimbalance on classification performance is detrimental; (ii) the method ofaddressing class imbalance that emerged as dominant in almost all analyzedscenarios was oversampling; (iii) oversampling should be applied to the levelthat totally eliminates the imbalance, whereas undersampling can perform betterwhen the imbalance is only removed to some extent; (iv) as opposed to someclassical machine learning models, oversampling does not necessarily causeoverfitting of CNNs; (v) thresholding should be applied to compensate for priorclass probabilities when overall number of properly classified cases is ofinterest.",A systematic study of the class imbalance problem in convolutional  neural networks
30,Physics,Physics,,,,"Regularization is one of the crucial ingredients of deep learning, yet theterm regularization has various definitions, and regularization methods areoften studied separately from each other. In our work we present a systematic,unifying taxonomy to categorize existing methods. We distinguish methods thataffect data, network architectures, error terms, regularization terms, andoptimization procedures. We do not provide all details about the listedmethods; instead, we present an overview of how the methods can be sorted intomeaningful categories and sub-categories. This helps revealing links andfundamental similarities between them. Finally, we include practicalrecommendations both for users and for developers of new regularizationmethods.",Regularization for Deep Learning: A Taxonomy
31,,,,,,"Clustering is a fundamental machine learning method. The quality of itsresults is dependent on the data distribution. For this reason, deep neuralnetworks can be used for learning better representations of the data. In thispaper, we propose a systematic taxonomy for clustering with deep learning, inaddition to a review of methods from the field. Based on our taxonomy, creatingnew methods is more straightforward. We also propose a new approach which isbuilt on the taxonomy and surpasses some of the limitations of some previouswork. Our experimental evaluation on image datasets shows that the methodapproaches state-of-the-art clustering quality, and performs better in somecases.",Clustering with Deep Learning: Taxonomy and New Methods
32,DV,DV,,,,"We tackle here the problem of multimodal image non-rigid registration, whichis of prime importance in remote sensing and medical imaging. The difficultiesencountered by classical registration approaches include feature design andslow optimization by gradient descent. By analyzing these methods, we note thesignificance of the notion of scale. We design easy-to-train,fully-convolutional neural networks able to learn scale-specific features. Oncechained appropriately, they perform global registration in linear time, gettingrid of gradient descent schemes by predicting directly the deformation.We showtheir performance in terms of quality and speed through various tasks of remotesensing multimodal image alignment. In particular, we are able to registercorrectly cadastral maps of buildings as well as road polylines onto RGBimages, and outperform current keypoint matching methods.",Coarse to fine non-rigid registration: a chain of scale-specific neural  networks for multimodal image alignment with application to remote sensing
33,Chemistry,,,Chemistry,,"Recent progress in using recurrent neural networks (RNNs) for imagedescription has motivated the exploration of their application for videodescription. However, while images are static, working with videos requiresmodeling their dynamic temporal structure and then properly integrating thatinformation into a natural language description. In this context, we propose anapproach that successfully takes into account both the local and globaltemporal structure of videos to produce descriptions. First, our approachincorporates a spatial temporal 3-D convolutional neural network (3-D CNN)representation of the short temporal dynamics. The 3-D CNN representation istrained on video action recognition tasks, so as to produce a representationthat is tuned to human motion and behavior. Second we propose a temporalattention mechanism that allows to go beyond local temporal modeling and learnsto automatically select the most relevant temporal segments given thetext-generating RNN. Our approach exceeds the current state-of-art for bothBLEU and METEOR metrics on the Youtube2Text dataset. We also present results ona new, larger and more challenging dataset of paired video and natural languagedescriptions.",Describing Videos by Exploiting Temporal Structure
34,DV,DV,,,,"Hybrid methods that utilize both content and rating information are commonlyused in many recommender systems. However, most of them use either handcraftedfeatures or the bag-of-words representation as a surrogate for the contentinformation but they are neither effective nor natural enough. To address thisproblem, we develop a collaborative recurrent autoencoder (CRAE) which is adenoising recurrent autoencoder (DRAE) that models the generation of contentsequences in the collaborative filtering (CF) setting. The model generalizesrecent advances in recurrent deep learning from i.i.d. input to non-i.i.d.(CF-based) input and provides a new denoising scheme along with a novellearnable pooling scheme for the recurrent autoencoder. To do this, we firstdevelop a hierarchical Bayesian model for the DRAE and then generalize it tothe CF setting. The synergy between denoising and CF enables CRAE to makeaccurate recommendations while learning to fill in the blanks in sequences.Experiments on real-world datasets from different domains (CiteULike andNetflix) show that, by jointly modeling the order-aware generation of sequencesfor the content information and performing CF for the ratings, CRAE is able tosignificantly outperform the state of the art on both the recommendation taskbased on ratings and the sequence generation task based on content information.",Collaborative Recurrent Autoencoder: Recommend while Learning to Fill in  the Blanks
35,,,,,,"In this project we analysed how much semantic information images carry, andhow much value image data can add to sentiment analysis of the text associatedwith the images. To better understand the contribution from images, we comparedmodels which only made use of image data, models which only made use of textdata, and models which combined both data types. We also analysed if thisapproach could help sentiment classifiers generalize to unknown sentiments.",Sentiment Classification using Images and Label Embeddings
36,Data,,,Data,,"Neural networks (NN) have achieved state-of-the-art performance in variousapplications. Unfortunately in applications where training data isinsufficient, they are often prone to overfitting. One effective way toalleviate this problem is to exploit the Bayesian approach by using Bayesianneural networks (BNN). Another shortcoming of NN is the lack of flexibility tocustomize different distributions for the weights and neurons according to thedata, as is often done in probabilistic graphical models. To address theseproblems, we propose a class of probabilistic neural networks, dubbednatural-parameter networks (NPN), as a novel and lightweight Bayesian treatmentof NN. NPN allows the usage of arbitrary exponential-family distributions tomodel the weights and neurons. Different from traditional NN and B, NPN takesdistributions as input and goes through layers of transformation beforeproducing distributions to match the target output distributions. As a Bayesiantreatment, efficient backpropagation (BP) is performed to learn the naturalparameters for the distributions over both the weights and neurons. The outputdistributions of each layer, as byproducts, may be used as second-orderrepresentations for the associated tasks such as link prediction. Experimentson real-world datasets show that NPN can achieve state-of-the-art performance.",Natural-Parameter Networks: A Class of Probabilistic Neural Networks
37,Physics,,,Physics,,"When encountering novel objects, humans are able to infer a wide range ofphysical properties such as mass, friction and deformability by interactingwith them in a goal driven way. This process of active interaction is in thesame spirit as a scientist performing experiments to discover hidden facts.Recent advances in artificial intelligence have yielded machines that canachieve superhuman performance in Go, Atari, natural language processing, andcomplex control problems; however, it is not clear that these systems can rivalthe scientific intuition of even a young child. In this work we introduce abasic set of tasks that require agents to estimate properties such as mass andcohesion of objects in an interactive simulated environment where they canmanipulate the objects and observe the consequences. We found that state of artdeep reinforcement learning methods can learn to perform the experimentsnecessary to discover such hidden properties. By systematically manipulatingthe problem difficulty and the cost incurred by the agent for performingexperiments, we found that agents learn different strategies that balance thecost of gathering information against the cost of making mistakes in differentsituations.",Learning to Perform Physics Experiments via Deep Reinforcement Learning
38,,,,,,"Teaching machines to accomplish tasks by conversing naturally with humans ischallenging. Currently, developing task-oriented dialogue systems requirescreating multiple components and typically this involves either a large amountof handcrafting, or acquiring costly labelled datasets to solve a statisticallearning problem for each component. In this work we introduce a neuralnetwork-based text-in, text-out end-to-end trainable goal-oriented dialoguesystem along with a new way of collecting dialogue data based on a novelpipe-lined Wizard-of-Oz framework. This approach allows us to develop dialoguesystems easily and without making too many assumptions about the task at hand.The results show that the model can converse with human subjects naturallywhilst helping them to accomplish tasks in a restaurant search domain.",A Network-based End-to-End Trainable Task-oriented Dialogue System
39,,,,,,"Embedding-based Knowledge Base Completion models have so far mostly combineddistributed representations of individual entities or relations to computetruth scores of missing links. Facts can however also be represented usingpairwise embeddings, i.e. embeddings for pairs of entities and relations. Inthis paper we explore such bigram embeddings with a flexible FactorizationMachine model and several ablations from it. We investigate the relevance ofvarious bigram types on the fb15k237 dataset and find relative improvementscompared to a compositional model.",A Factorization Machine Framework for Testing Bigram Embeddings in  Knowledgebase Completion
40,,,,,,"Existing models based on artificial neural networks (ANNs) for sentenceclassification often do not incorporate the context in which sentences appear,and classify sentences individually. However, traditional sentenceclassification approaches have been shown to greatly benefit from jointlyclassifying subsequent sentences, such as with conditional random fields. Inthis work, we present an ANN architecture that combines the effectiveness oftypical ANN models to classify sentences in isolation, with the strength ofstructured prediction. Our model achieves state-of-the-art results on twodifferent datasets for sequential sentence classification in medical abstracts.",Neural Networks for Joint Sentence Classification in Medical Paper  Abstracts
